Entity,Code,Year,Democracy score,time
Afghanistan,AFG,2023,0.26,2023
Albania,ALB,2023,6.28,2023
Algeria,DZA,2023,3.66,2023
Angola,AGO,2023,4.18,2023
Argentina,ARG,2023,6.62,2023
Armenia,ARM,2023,5.42,2023
Australia,AUS,2023,8.66,2023
Austria,AUT,2023,8.28,2023
Azerbaijan,AZE,2023,2.8,2023
Bahrain,BHR,2023,2.52,2023
Bangladesh,BGD,2023,5.87,2023
Belarus,BLR,2023,1.99,2023
Belgium,BEL,2023,7.64,2023
Benin,BEN,2023,4.68,2023
Bhutan,BTN,2023,5.54,2023
Bolivia,BOL,2023,4.2,2023
Bosnia and Herzegovina,BIH,2023,5,2023
Botswana,BWA,2023,7.73,2023
Brazil,BRA,2023,6.68,2023
Bulgaria,BGR,2023,6.41,2023
Burkina Faso,BFA,2023,2.73,2023
Burundi,BDI,2023,2.13,2023
Cambodia,KHM,2023,3.05,2023
Cameroon,CMR,2023,2.56,2023
Canada,CAN,2023,8.69,2023
Cape Verde,CPV,2023,7.65,2023
Central African Republic,CAF,2023,1.18,2023
Chad,TCD,2023,1.67,2023
Chile,CHL,2023,7.98,2023
China,CHN,2023,2.12,2023
Colombia,COL,2023,6.55,2023
Comoros,COM,2023,3.04,2023
Congo,COG,2023,2.79,2023
Costa Rica,CRI,2023,8.29,2023
Cote d'Ivoire,CIV,2023,4.22,2023
Croatia,HRV,2023,6.5,2023
Cuba,CUB,2023,2.65,2023
Cyprus,CYP,2023,7.38,2023
Czechia,CZE,2023,7.97,2023
Democratic Republic of Congo,COD,2023,1.68,2023
Denmark,DNK,2023,9.28,2023
Djibouti,DJI,2023,2.7,2023
Dominican Republic,DOM,2023,6.44,2023
East Timor,TLS,2023,7.06,2023
Ecuador,ECU,2023,5.41,2023
Egypt,EGY,2023,2.93,2023
El Salvador,SLV,2023,4.71,2023
Equatorial Guinea,GNQ,2023,1.92,2023
Eritrea,ERI,2023,1.97,2023
Estonia,EST,2023,7.96,2023
Eswatini,SWZ,2023,2.78,2023
Ethiopia,ETH,2023,3.37,2023
Fiji,FJI,2023,5.55,2023
Finland,FIN,2023,9.3,2023
France,FRA,2023,8.07,2023
Gabon,GAB,2023,2.18,2023
Gambia,GMB,2023,4.47,2023
Georgia,GEO,2023,5.2,2023
Germany,DEU,2023,8.8,2023
Ghana,GHA,2023,6.3,2023
Greece,GRC,2023,8.14,2023
Guatemala,GTM,2023,4.47,2023
Guinea,GIN,2023,2.21,2023
Guinea-Bissau,GNB,2023,2.45,2023
Guyana,GUY,2023,6.26,2023
Haiti,HTI,2023,2.81,2023
Honduras,HND,2023,4.98,2023
Hungary,HUN,2023,6.72,2023
Iceland,ISL,2023,9.45,2023
India,IND,2023,7.18,2023
Indonesia,IDN,2023,6.53,2023
Iran,IRN,2023,1.96,2023
Iraq,IRQ,2023,2.88,2023
Ireland,IRL,2023,9.19,2023
Israel,ISR,2023,7.8,2023
Italy,ITA,2023,7.69,2023
Jamaica,JAM,2023,7.06,2023
Japan,JPN,2023,8.4,2023
Jordan,JOR,2023,3.04,2023
Kazakhstan,KAZ,2023,3.08,2023
Kenya,KEN,2023,5.05,2023
Kuwait,KWT,2023,3.5,2023
Kyrgyzstan,KGZ,2023,3.7,2023
Laos,LAO,2023,1.71,2023
Latvia,LVA,2023,7.38,2023
Lebanon,LBN,2023,3.56,2023
Lesotho,LSO,2023,6.06,2023
Liberia,LBR,2023,5.57,2023
Libya,LBY,2023,1.78,2023
Lithuania,LTU,2023,7.31,2023
Luxembourg,LUX,2023,8.81,2023
Madagascar,MDG,2023,5.26,2023
Malawi,MWI,2023,5.85,2023
Malaysia,MYS,2023,7.29,2023
Mali,MLI,2023,2.58,2023
Malta,MLT,2023,7.93,2023
Mauritania,MRT,2023,4.14,2023
Mauritius,MUS,2023,8.14,2023
Mexico,MEX,2023,5.14,2023
Moldova,MDA,2023,6.23,2023
Mongolia,MNG,2023,6.48,2023
Montenegro,MNE,2023,6.67,2023
Morocco,MAR,2023,5.04,2023
Mozambique,MOZ,2023,3.51,2023
Myanmar,MMR,2023,0.85,2023
Namibia,NAM,2023,6.52,2023
Nepal,NPL,2023,4.6,2023
Netherlands,NLD,2023,9,2023
New Zealand,NZL,2023,9.61,2023
Nicaragua,NIC,2023,2.26,2023
Niger,NER,2023,2.37,2023
Nigeria,NGA,2023,4.23,2023
North Korea,PRK,2023,1.08,2023
North Macedonia,MKD,2023,6.03,2023
Norway,NOR,2023,9.81,2023
Oman,OMN,2023,3.12,2023
Pakistan,PAK,2023,3.25,2023
Palestine,PSE,2023,3.47,2023
Panama,PAN,2023,6.91,2023
Papua New Guinea,PNG,2023,6.03,2023
Paraguay,PRY,2023,6,2023
Peru,PER,2023,5.81,2023
Philippines,PHL,2023,6.66,2023
Poland,POL,2023,7.18,2023
Portugal,PRT,2023,7.75,2023
Qatar,QAT,2023,3.65,2023
Romania,ROU,2023,6.45,2023
Russia,RUS,2023,2.22,2023
Rwanda,RWA,2023,3.3,2023
Saudi Arabia,SAU,2023,2.08,2023
Senegal,SEN,2023,5.48,2023
Serbia,SRB,2023,6.33,2023
Sierra Leone,SLE,2023,4.32,2023
Singapore,SGP,2023,6.18,2023
Slovakia,SVK,2023,7.07,2023
Slovenia,SVN,2023,7.75,2023
South Africa,ZAF,2023,7.05,2023
South Korea,KOR,2023,8.09,2023
Spain,ESP,2023,8.07,2023
Sri Lanka,LKA,2023,6.17,2023
Sudan,SDN,2023,1.76,2023
Suriname,SUR,2023,6.88,2023
Sweden,SWE,2023,9.39,2023
Switzerland,CHE,2023,9.14,2023
Syria,SYR,2023,1.43,2023
Taiwan,TWN,2023,8.92,2023
Tajikistan,TJK,2023,1.94,2023
Tanzania,TZA,2023,5.35,2023
Thailand,THA,2023,6.35,2023
Togo,TGO,2023,2.99,2023
Trinidad and Tobago,TTO,2023,7.16,2023
Tunisia,TUN,2023,5.51,2023
Turkey,TUR,2023,4.33,2023
Turkmenistan,TKM,2023,1.66,2023
Uganda,UGA,2023,4.49,2023
Ukraine,UKR,2023,5.06,2023
United Arab Emirates,ARE,2023,3.01,2023
United Kingdom,GBR,2023,8.28,2023
United States,USA,2023,7.85,2023
Uruguay,URY,2023,8.66,2023
Uzbekistan,UZB,2023,2.12,2023
Venezuela,VEN,2023,2.31,2023
Vietnam,VNM,2023,2.62,2023
Yemen,YEM,2023,1.95,2023
Zambia,ZMB,2023,5.8,2023
Zimbabwe,ZWE,2023,3.04,2023